trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
77,False,"{'a': 0.3, 'e': 0.22999999999999932}",20,0,-0.02792319434095525,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
78,False,"{'a': 0.3, 'e': 0.2199999999999993}",30,17,23.755674278000598,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.3, 'e': 0.2099999999999993}",25,0,-34.26597369577245,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
80,False,"{'a': 0.3, 'e': 0.1999999999999993}",20,6,-0.8569956305982922,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.3, 'e': 0.18999999999999928}",25,4,20.400202977965687,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.3, 'e': 0.17999999999999927}",25,2,-2.4862120483854113,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 0}",1
83,False,"{'a': 0.3, 'e': 0.16999999999999926}",35,9,-14.497526322308275,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 1}",1
84,False,"{'a': 0.3, 'e': 0.15999999999999925}",35,22,8.96595357958293,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.3, 'e': 0.14999999999999925}",20,16,6.853566563528899,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.3, 'e': 0.13999999999999924}",25,0,-8.38250322063896,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
87,False,"{'a': 0.3, 'e': 0.12999999999999923}",20,13,13.05794134689468,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.3, 'e': 0.11999999999999923}",20,5,11.74676575460322,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.3, 'e': 0.10999999999999924}",30,21,2.817593769980806,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.3, 'e': 0.09999999999999924}",25,0,19.590694093611855,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
91,False,"{'a': 0.3, 'e': 0.08999999999999925}",20,16,9.047654964872834,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.3, 'e': 0.07999999999999925}",25,9,5.99060107924514,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.3, 'e': 0.06999999999999926}",30,9,30.46259878135224,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.3, 'e': 0.059999999999999255}",30,12,35.70644115803438,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.3, 'e': 0.04999999999999925}",25,17,14.12101663499219,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.3, 'e': 0.03999999999999925}",20,11,-4.180985247422113,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
97,False,"{'a': 0.3, 'e': 0.02999999999999925}",20,14,2.9121191854476445,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.3, 'e': 0.019999999999999248}",20,1,21.8257624893321,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.3, 'e': 0.009999999999999247}",30,7,24.455494869044077,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.3, 'e': 0}",20,6,14.537029625780399,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.3, 'e': 0}",20,5,7.458014126618667,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.3, 'e': 0}",30,0,-0.069110035833297,"{0: 23, 1: 7, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.3, 'e': 0}",20,8,22.277114094097794,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.3, 'e': 0}",20,3,19.124830813027213,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.3, 'e': 0}",20,11,18.647894720867246,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.3, 'e': 0}",30,2,27.069456474662193,"{0: 26, 1: 2, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.3, 'e': 0}",25,18,-1.0198352101857777,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.3, 'e': 0}",30,8,28.408128043989244,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.3, 'e': 0}",20,15,8.53084463322011,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
